GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reactive-web,co.com.nequi.franchise.api.exception,InvalidRequestException,0,4,0,0,0,2,0,1,0,1
reactive-web,co.com.nequi.franchise.api.exception,GlobalExceptionHandler,0,175,0,8,0,37,0,13,0,9
reactive-web,co.com.nequi.franchise.api.dto,Requests.CreateBranchRequest,0,6,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Responses.ProductResponse,0,15,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Requests.UpdateNameRequest,0,6,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Responses.BranchResponse,0,12,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Responses.FranchiseResponse,0,9,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Requests.CreateFranchiseRequest,0,6,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Requests.CreateProductRequest,0,9,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Requests.UpdateStockRequest,0,6,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Responses.TopStockProductResponse,0,18,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.dto,Responses.ErrorResponse,0,18,0,0,0,1,0,1,0,1
reactive-web,co.com.nequi.franchise.api.mapper,DtoMapper,0,44,0,0,0,9,0,4,0,4
reactive-web,co.com.nequi.franchise.api,ProductHandler,0,187,0,0,0,41,0,12,0,12
reactive-web,co.com.nequi.franchise.api,FranchiseHandler,6,73,0,0,2,14,1,5,1,5
reactive-web,co.com.nequi.franchise.api,ApiRouter,0,118,0,0,0,12,0,2,0,2
reactive-web,co.com.nequi.franchise.api,BranchHandler,0,91,0,0,0,18,0,6,0,6
reactive-web,co.com.nequi.franchise.api.validation,RequestValidator,0,47,0,0,0,9,0,4,0,4
